author_id,name,institution,publications,orcid,degree
https://openalex.org/A5088881526,Joseph D. Khoury,The University of Texas MD Anderson Cancer Center,2,https://orcid.org/0000-0003-2621-3584,124
https://openalex.org/A5023810956,Éric Solary,Institut Gustave Roussy,1,https://orcid.org/0000-0002-8629-1341,61
https://openalex.org/A5031416380,Oussama Abla,Hospital for Sick Children,1,https://orcid.org/0000-0001-7446-6274,61
https://openalex.org/A5064496301,Yassmine Akkari,Nationwide Children's Hospital,1,,61
https://openalex.org/A5015423699,Rita Alaggio,Bambino Gesù Children's Hospital,2,https://orcid.org/0000-0003-3915-3816,124
https://openalex.org/A5074115908,Jane F. Apperley,Imperial College London,1,https://orcid.org/0000-0002-1710-1794,61
https://openalex.org/A5062180760,Rafael Bejar,"University of California, San Diego",3,https://orcid.org/0000-0002-5603-4598,151
https://openalex.org/A5087333640,Emilio Berti,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico,2,https://orcid.org/0000-0001-6753-4910,124
https://openalex.org/A5043492753,Lambert Busque,Université de Montréal,1,https://orcid.org/0000-0002-5375-3749,61
https://openalex.org/A5108102147,John K. C. Chan,Queen Elizabeth Hospital,1,,61
https://openalex.org/A5012895760,Weina Chen,The University of Texas Southwestern Medical Center,1,https://orcid.org/0000-0001-5638-4371,61
https://openalex.org/A5100630223,Xueyan Chen,University of Washington,1,https://orcid.org/0000-0002-3073-7180,61
https://openalex.org/A5066282840,Wee Joo Chng,"National University Cancer Institute, Singapore",2,https://orcid.org/0000-0003-2578-8335,124
https://openalex.org/A5085136977,John Choi,University of Alabama at Birmingham,2,https://orcid.org/0000-0002-2861-0180,124
https://openalex.org/A5050541673,Isabel Colmenero,Hospital Infantil Universitario Niño Jesús,1,https://orcid.org/0000-0001-6859-187X,61
https://openalex.org/A5031298664,Sarah E. Coupland,,2,https://orcid.org/0000-0002-1464-2069,124
https://openalex.org/A5036839901,Nicholas C.P. Cross,University of Southampton,1,https://orcid.org/0000-0001-5481-2555,61
https://openalex.org/A5009172923,Daphne de Jong,Vrije Universiteit Amsterdam,2,https://orcid.org/0000-0002-9725-4060,124
https://openalex.org/A5054223683,M. Tarek Elghetany,Texas Children's Hospital,1,https://orcid.org/0000-0002-0246-5800,61
https://openalex.org/A5065412326,Emiko Takahashi,Aichi Medical University Hospital,1,https://orcid.org/0000-0001-8284-567X,61
https://openalex.org/A5070179654,Jean-François Émile,Assistance Publique – Hôpitaux de Paris,1,https://orcid.org/0000-0002-6073-4466,61
https://openalex.org/A5014039090,Judith A. Ferry,Massachusetts General Hospital,2,https://orcid.org/0000-0002-3428-4166,124
https://openalex.org/A5026844718,Linda Fogelstrand,Sahlgrenska University Hospital,1,https://orcid.org/0000-0003-3698-8519,61
https://openalex.org/A5075558296,Michaëla Fontenay,Université Paris Cité,2,https://orcid.org/0000-0002-5492-6349,120
https://openalex.org/A5113559069,Ulrich Germing,Heinrich Heine University Düsseldorf,2,,120
https://openalex.org/A5029787002,Sumeet Gujral,Tata Memorial Hospital,2,https://orcid.org/0000-0001-8648-1172,124
https://openalex.org/A5043414993,Torsten Haferlach,Munich Leukemia Laboratory (Germany),2,https://orcid.org/0000-0003-0196-2837,101
https://openalex.org/A5046827092,Claire Harrison,Guy's and St Thomas' NHS Foundation Trust,1,https://orcid.org/0000-0002-3212-920X,61
https://openalex.org/A5068661649,Jennelle C. Hodge,Indiana University – Purdue University Indianapolis,1,https://orcid.org/0000-0002-1770-4042,61
https://openalex.org/A5018907621,Shimin Hu,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-7110-3814,61
https://openalex.org/A5020940867,Joop H. Jansen,Radboud University Nijmegen,2,https://orcid.org/0000-0001-9459-568X,120
https://openalex.org/A5059373442,Rashmi Kanagal‐Shamanna,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0001-7829-5249,61
https://openalex.org/A5090435894,Hagop M. Kantarjian,The University of Texas MD Anderson Cancer Center,1,https://orcid.org/0000-0002-1908-3307,61
https://openalex.org/A5075952597,Christian P. Kratz,Medizinische Hochschule Hannover,1,https://orcid.org/0000-0003-4120-5873,61
https://openalex.org/A5029686222,Xiaoqiu Li,Fudan University,1,,61
https://openalex.org/A5041898934,Megan S. Lim,University of Pennsylvania,2,https://orcid.org/0000-0002-0415-2867,124
https://openalex.org/A5065358447,Keith R. Loeb,Fred Hutch Cancer Center,1,https://orcid.org/0000-0002-3305-0261,61
https://openalex.org/A5056317446,Sanam Loghavi,The University of Texas MD Anderson Cancer Center,2,https://orcid.org/0000-0001-8980-3202,101
https://openalex.org/A5042219626,Andrea N. Marcogliese,Baylor College of Medicine,2,https://orcid.org/0000-0002-1458-9675,124
https://openalex.org/A5049490094,Soheil Meshinchi,Fred Hutch Cancer Center,1,https://orcid.org/0000-0002-6276-4423,61
https://openalex.org/A5005365729,Phillip Michaels,Beth Israel Deaconess Medical Center,1,https://orcid.org/0000-0003-3827-953X,61
https://openalex.org/A5033114100,Kikkeri N. Naresh,Fred Hutch Cancer Center,2,https://orcid.org/0000-0003-3807-3638,124
https://openalex.org/A5001976357,Yasodha Natkunam,Stanford University,3,https://orcid.org/0000-0002-9816-1018,166
https://openalex.org/A5054895103,Reza Nejati,Fox Chase Cancer Center,1,https://orcid.org/0000-0002-2188-156X,61
https://openalex.org/A5075157221,German Ott,Dr. Margarete Fischer-Bosch-Institute of Clinical Pharmacology,2,https://orcid.org/0000-0001-7990-6793,124
https://openalex.org/A5041754278,Eric Padron,Moffitt Cancer Center,1,https://orcid.org/0000-0002-4707-7916,61
