year,collaborating_institution,country,work_id
2020,Swedish Medical Center,US,https://openalex.org/W3016474181
2020,"University of California, San Francisco",US,https://openalex.org/W3016474181
2020,University of Michigan–Ann Arbor,US,https://openalex.org/W3016474181
2020,Uniformed Services University of the Health Sciences,US,https://openalex.org/W3016474181
2020,University of Alabama at Birmingham,US,https://openalex.org/W3016474181
2020,Yale University,US,https://openalex.org/W3016474181
2020,Massachusetts General Hospital,US,https://openalex.org/W3016474181
2020,Carolinas Medical Center,US,https://openalex.org/W3016474181
2020,Yale University,US,https://openalex.org/W3016474181
2020,Columbia University,US,https://openalex.org/W3016474181
2020,Swedish Medical Center,US,https://openalex.org/W3016474181
2020,Weill Cornell Medicine,US,https://openalex.org/W3016474181
2020,University of California System,US,https://openalex.org/W3016474181
2020,Swedish Medical Center,US,https://openalex.org/W3016474181
2020,Massachusetts General Hospital,US,https://openalex.org/W3016474181
2022,VA Palo Alto Health Care System,US,https://openalex.org/W4307052702
2022,Brigham and Women's Hospital,US,https://openalex.org/W4307052702
2022,Cleveland Clinic,US,https://openalex.org/W4307052702
2022,University of Naples Federico II,IT,https://openalex.org/W4307052702
2022,Hospital Alemão Oswaldo Cruz,BR,https://openalex.org/W4307052702
2022,Universidade de Brasília,BR,https://openalex.org/W4307052702
2022,Cleveland Clinic,US,https://openalex.org/W4307052702
2022,Jordan Hospital,JO,https://openalex.org/W4307052702
2022,Centre Hospitalier Interrégional Edith Cavell,BE,https://openalex.org/W4307052702
2022,Flinders University,AU,https://openalex.org/W4307052702
2022,New York University,US,https://openalex.org/W4307052702
2022,Sutherland Hospital,AU,https://openalex.org/W4307052702
2022,Sunderland Royal Hospital,GB,https://openalex.org/W4307052702
2022,Carolinas Medical Center,US,https://openalex.org/W4307052702
2022,Leeds Teaching Hospitals NHS Trust,GB,https://openalex.org/W4307052702
2022,Hartford Hospital,US,https://openalex.org/W4307052702
2022,CHI Memorial Medical Group,US,https://openalex.org/W4307052702
2022,Lucile Packard Children's Hospital,US,https://openalex.org/W4307052702
2022,Penn State Milton S. Hershey Medical Center,US,https://openalex.org/W4307052702
2022,National Institutes of Health,US,https://openalex.org/W4307052702
2022,Hôpital Riviera-Chablais,CH,https://openalex.org/W4307052702
2022,Prisma Health,US,https://openalex.org/W4307052702
2023,Allina Health,US,https://openalex.org/W4323076139
2023,Intermountain Medical Center,US,https://openalex.org/W4323076139
2023,Abbott Northwestern Hospital,US,https://openalex.org/W4323076139
2023,St. Joseph's Hospital and Medical Center,US,https://openalex.org/W4323076139
2023,Cedars-Sinai Medical Center,US,https://openalex.org/W4323076139
2023,University of Kansas Medical Center,US,https://openalex.org/W4323076139
2023,Scripps Green Hospital,US,https://openalex.org/W4323076139
2023,University of California Davis Medical Center,US,https://openalex.org/W4323076139
2023,St Michael’s Hospital,IE,https://openalex.org/W4323076139
2023,Los Robles Hospital & Medical Center,US,https://openalex.org/W4323076139
2023,Carolinas Medical Center,US,https://openalex.org/W4323076139
2023,McMaster University,CA,https://openalex.org/W4323076139
2023,Abbott Northwestern Hospital,US,https://openalex.org/W4323076139
2023,Intermountain Medical Center,US,https://openalex.org/W4323076139
2023,St. Joseph's Hospital and Medical Center,US,https://openalex.org/W4323076139
2023,Cedars-Sinai Medical Center,US,https://openalex.org/W4323076139
2023,University of Kansas Medical Center,US,https://openalex.org/W4323076139
2023,Abbott (Canada),CA,https://openalex.org/W4323076139
2023,Abbott (Canada),CA,https://openalex.org/W4323076139
2023,The Ohio State University,US,https://openalex.org/W4323076139
2023,Montefiore Medical Center,US,https://openalex.org/W4323076139
2023,Northwestern University,PH,https://openalex.org/W4323076139
2023,Mount Sinai Health System,US,https://openalex.org/W4323076139
2023,Columbia University Irving Medical Center,US,https://openalex.org/W4323076139
2023,Mount Sinai Health System,US,https://openalex.org/W4323076139
2020,University of Lausanne,CH,https://openalex.org/W4211102457
2020,Oslo University Hospital,NO,https://openalex.org/W4211102457
2020,University of Lausanne,CH,https://openalex.org/W4211102457
2020,University of Lausanne,CH,https://openalex.org/W4211102457
2020,Hospices Civils de Lyon,FR,https://openalex.org/W4211102457
2020,Hospices Civils de Lyon,FR,https://openalex.org/W4211102457
2020,Universität Hamburg,DE,https://openalex.org/W4211102457
2020,University of Amsterdam,NL,https://openalex.org/W4211102457
2020,Royal Surrey County Hospital,GB,https://openalex.org/W4211102457
2020,Maastricht University,NL,https://openalex.org/W4211102457
2020,Carolinas Medical Center,US,https://openalex.org/W4211102457
2020,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W4211102457
2020,Universität Hamburg,DE,https://openalex.org/W4211102457
2020,University of Lausanne,CH,https://openalex.org/W4211102457
2022,VA Palo Alto Health Care System,US,https://openalex.org/W4308295896
2022,Harvard University,US,https://openalex.org/W4308295896
2022,Cleveland Clinic,US,https://openalex.org/W4308295896
2022,University of Naples Federico II,IT,https://openalex.org/W4308295896
2022,Hospital Alemão Oswaldo Cruz,BR,https://openalex.org/W4308295896
2022,Gastrocirurgia de Brasília,BR,https://openalex.org/W4308295896
2022,Cleveland Clinic,US,https://openalex.org/W4308295896
2022,Jordan Hospital,JO,https://openalex.org/W4308295896
2022,Centre Hospitalier Interrégional Edith Cavell,BE,https://openalex.org/W4308295896
2022,Flinders University,AU,https://openalex.org/W4308295896
2022,New York University,US,https://openalex.org/W4308295896
2022,St George Hospital,AU,https://openalex.org/W4308295896
2022,Sunderland Royal Hospital,GB,https://openalex.org/W4308295896
2022,Carolinas Medical Center,US,https://openalex.org/W4308295896
2022,Leeds Teaching Hospitals NHS Trust,GB,https://openalex.org/W4308295896
2022,Hartford Hospital,US,https://openalex.org/W4308295896
2022,CHI Memorial Medical Group,US,https://openalex.org/W4308295896
2022,Lucile Packard Children's Hospital,US,https://openalex.org/W4308295896
2022,Penn State Milton S. Hershey Medical Center,US,https://openalex.org/W4308295896
2022,National Institutes of Health,US,https://openalex.org/W4308295896
2022,Hôpital Riviera-Chablais,CH,https://openalex.org/W4308295896
2022,University of South Carolina,US,https://openalex.org/W4308295896
2021,Indiana University – Purdue University Indianapolis,US,https://openalex.org/W4205136705
2021,Northwestern University,US,https://openalex.org/W4205136705
2021,Carolinas Medical Center,US,https://openalex.org/W4205136705
2021,VA Palo Alto Health Care System,US,https://openalex.org/W4205136705
2021,University of Pennsylvania,US,https://openalex.org/W4205136705
2020,University of Pittsburgh Medical Center,US,https://openalex.org/W3014874870
2020,University of Iowa Hospitals and Clinics,US,https://openalex.org/W3014874870
2020,The University of Texas MD Anderson Cancer Center,US,https://openalex.org/W3014874870
2020,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W3014874870
2020,NorthShore University HealthSystem,US,https://openalex.org/W3014874870
2020,University of Pennsylvania,US,https://openalex.org/W3014874870
2020,Wake Forest University,US,https://openalex.org/W3014874870
2020,University of Illinois Chicago,US,https://openalex.org/W3014874870
2020,UF Health Cancer Center,,https://openalex.org/W3014874870
2020,Virginia Commonwealth University,US,https://openalex.org/W3014874870
2020,University of Miami,US,https://openalex.org/W3014874870
2020,West Cancer Center,US,https://openalex.org/W3014874870
2020,Madigan Army Medical Center,US,https://openalex.org/W3014874870
2020,Vanderbilt University,US,https://openalex.org/W3014874870
2020,University of Chicago,US,https://openalex.org/W3014874870
2020,Carolinas Medical Center,US,https://openalex.org/W3014874870
2020,Northwestern University,US,https://openalex.org/W3014874870
2020,Memorial Sloan Kettering Cancer Center,US,https://openalex.org/W3014874870
2023,Icahn School of Medicine at Mount Sinai,US,https://openalex.org/W4323262080
2023,Lung Institute,US,https://openalex.org/W4323262080
2023,Informa Healthcare,GB,https://openalex.org/W4323262080
2023,Baylor University Medical Center,US,https://openalex.org/W4323262080
2023,University of Virginia,US,https://openalex.org/W4323262080
2023,Kaiser Permanente San Francisco Medical Center,US,https://openalex.org/W4323262080
2023,Intermountain Medical Center,US,https://openalex.org/W4323262080
2023,Carolinas Medical Center,US,https://openalex.org/W4323262080
2023,Cleveland Clinic,US,https://openalex.org/W4323262080
2023,Piedmont Atlanta Hospital,US,https://openalex.org/W4323262080
2023,Christ Hospital,US,https://openalex.org/W4323262080
2023,University of Colorado Hospital,US,https://openalex.org/W4323262080
2023,Columbia University Irving Medical Center,US,https://openalex.org/W4323262080
2023,St. Francis Hospital,US,https://openalex.org/W4323262080
2023,MedStar Health,US,https://openalex.org/W4323262080
2023,Heart Hospital Baylor Plano,US,https://openalex.org/W4323262080
2021,Ospedale San Luigi Gonzaga,IT,https://openalex.org/W3138220888
2021,National Research Council,IT,https://openalex.org/W3138220888
2021,University of Pavia,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,Azienda USL di Bologna,IT,https://openalex.org/W3138220888
2021,Hospital Universitario Infanta Cristina,ES,https://openalex.org/W3138220888
2021,Universitat de Lleida,ES,https://openalex.org/W3138220888
2021,Vita-Salute San Raffaele University,IT,https://openalex.org/W3138220888
2021,Universidad Francisco de Vitoria,ES,https://openalex.org/W3138220888
2021,Chelsea and Westminster Hospital,GB,https://openalex.org/W3138220888
2021,Azienda Ospedaliero-Universitaria Careggi,IT,https://openalex.org/W3138220888
2021,University of Pisa,IT,https://openalex.org/W3138220888
2021,Carolinas Medical Center,US,https://openalex.org/W3138220888
2021,University of Padua,IT,https://openalex.org/W3138220888
2021,Indiana University – Purdue University Indianapolis,US,https://openalex.org/W3138220888
2021,Ospedale San Giovanni Bosco,IT,https://openalex.org/W3138220888
2021,St Bartholomew's Hospital,GB,https://openalex.org/W3138220888
2021,Frimley Health NHS Foundation Trust,GB,https://openalex.org/W3138220888
2021,Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia,IT,https://openalex.org/W3138220888
2021,University of Udine,IT,https://openalex.org/W3138220888
2021,Mater Misericordiae University Hospital,IE,https://openalex.org/W3138220888
2021,Hospital Universitario Puerta del Mar,ES,https://openalex.org/W3138220888
